city,edges_leaving,edge_weights
Little Rock,"[Memphis, Texarkana]","[320, 140]"
Texarkana,"[Little Rock, Dallas/Fort Worth]","[140, 180]"
Dallas/Fort Worth,"[Texarkana, Austin, Oklahoma City]","[180, 200, 210]"
Oklahoma City,"[Dallas/Fort Worth, Tulsa]","[210, 110]"
Tulsa,"[Oklahoma City, Topeka]","[110, 220]"
Topeka,"[Tulsa, Kansas City]","[220, 60]"
Kansas City,"[Topeka, St. Louis]","[60, 250]"
St. Louis,"[Kansas City, Chicago]","[250, 300]"
Des Moines,"[Chicago, Omaha]","[330, 130]"
Omaha,"[Des Moines, Denver]","[130, 540]"
